"season","qb","dropbacks","effective","decision_rate","mean_epa","avg_time_to_throw","sacks","total_pass_touchdowns","interceptions","fumbles_lost","turnovers","turnover_rate"
2022,"T.Lawrence",704,340,0.482954545454545,0.10372134694323,2.5597237336679,31,25,13,7,20,0.0284090909090909
2022,"J.Allen",689,331,0.480406386066763,0.109947602301714,2.91591113939745,41,35,17,6,23,0.0333817126269956
2022,"J.Burrow",770,369,0.479220779220779,0.123971550176265,2.54360480491403,51,35,14,6,20,0.025974025974026
2022,"J.Goff",610,291,0.477049180327869,0.158461293226851,2.74590475349934,23,29,7,4,11,0.0180327868852459
2022,"K.Cousins",729,338,0.463648834019204,0.0443376968998745,2.84120454124526,46,29,14,4,18,0.0246913580246914
2022,"M.Stafford",332,153,0.460843373493976,-0.0877962130002594,2.71923067587342,29,10,8,4,12,0.036144578313253
2022,"J.Hurts",590,261,0.442372881355932,0.0927579318423616,2.75902691188018,42,22,6,8,14,0.023728813559322
2022,"J.Herbert",782,344,0.439897698209719,0.0207278967042456,2.85573751173377,41,25,10,6,16,0.020460358056266
2022,"L.Jackson",352,153,0.434659090909091,0.0135602595417021,3.0151020514305,26,17,7,2,9,0.0255681818181818
2022,"R.Wilson",538,190,0.353159851301115,-0.105689868477854,2.97906332392235,55,16,11,2,13,0.0241635687732342
2022,"B.Mayfield",371,129,0.347708894878706,-0.155750325124963,2.8415246332729,36,10,8,3,11,0.0296495956873315
2023,"D.Prescott",695,340,0.489208633093525,0.154884599749091,2.71830497224724,43,36,11,3,14,0.0201438848920863
2023,"J.Goff",754,368,0.488063660477454,0.128744931243951,2.72007781342729,37,30,12,5,17,0.0225464190981432
2023,"J.Allen",675,325,0.481481481481481,0.122985320093632,2.86136245997278,26,29,18,5,23,0.0340740740740741
2023,"T.Tagovailoa",630,301,0.477777777777778,0.15052568390053,2.37301879284859,31,29,15,3,18,0.0285714285714286
2023,"L.Jackson",560,261,0.466071428571429,0.0670453147193054,2.98898197986573,44,24,8,9,17,0.0303571428571429
2023,"J.Burrow",388,178,0.458762886597938,0.00258497495408809,2.52901202266087,24,15,6,2,8,0.0206185567010309
2023,"P.Mahomes",776,356,0.458762886597938,0.0693405996142478,2.94347970889158,32,27,15,9,24,0.0309278350515464
2023,"M.Stafford",589,268,0.455008488964346,0.108764014191996,2.69354340978551,32,24,11,2,13,0.0220713073005093
2023,"T.Lawrence",602,271,0.450166112956811,-0.036320604345671,2.51132927439936,35,21,14,11,25,0.0415282392026578
2023,"J.Herbert",486,215,0.44238683127572,0.0227286404786214,2.8435016536933,29,20,7,5,12,0.0246913580246914
2023,"J.Hurts",613,271,0.442088091353997,0.0619836738796634,2.98794732989974,39,23,15,5,20,0.032626427406199
2023,"K.Cousins",326,144,0.441717791411043,0.0592480005472105,2.86350287995592,17,18,5,6,11,0.0337423312883436
2023,"B.Mayfield",695,302,0.434532374100719,0.0763159529931816,2.69371177824815,48,28,12,7,19,0.0273381294964029
2023,"R.Wilson",491,200,0.407331975560081,-0.0749744675900377,3.04426240932284,45,26,8,9,17,0.0346232179226069
2024,"J.Goff",607,325,0.535420098846787,0.253254258016018,2.81491737345207,33,37,15,3,18,0.0296540362438221
2024,"T.Tagovailoa",421,217,0.515439429928741,0.203380077190837,2.41938344283462,21,19,7,2,9,0.0213776722090261
2024,"B.Mayfield",631,322,0.510301109350238,0.191488929123045,2.69954036362759,41,41,16,3,19,0.0301109350237718
2024,"J.Burrow",701,356,0.507845934379458,0.143401224379916,2.7049446908189,48,43,9,8,17,0.0242510699001427
